jurisdiction,righttoaddress,rightfromaddress,lefttoaddress,leftfromaddress,nysstreetid,objectid,highwaynumber,leftpostal,shape_length,rightpostal,fcc,acc,completestreetname,speed
12,99,1,98,2,511164016,8157,,14209,171.82834009276922,14209,A41,5,Saint Paul Mall,25
12,59,1,60,2,477796765,10754,,14210,39.726109307653388,14210,A41,5,Hydraulic Street,25
12,,,,,477794440,7597,,14202,8.8194614349992868,14202,A41,5,La Riviere Drive,25
12,53,1,52,2,477790035,7942,,14201,213.298496009844,14201,A41,5,Fargo Avenue,25
12,737,701,770,700,477796457,10759,,14210,132.56904853687433,14210,A41,5,Carroll Street,25
12,199,1,198,2,477788458,6385,,14211,362.09921924712506,14211,A40,5,Wasmuth Avenue,25
01,27,1,24,2,477790864,8082,5,14203,86.177437778355511,14203,A20,4,Goodell Street,35
12,199,1,198,2,477794383,6547,,14206,370.69960750900117,14206,A41,5,Depot Street,25
12,299,167,298,168,477792440,7765,,14201,153.13544639344863,14201,A30,4,West Huron Street,35
12,199,105,198,106,477793503,7493,,14202,132.08400546612881,14202,A41,4,West Eagle Street,25
12,43,29,52,36,477797674,10581,,14210,54.629311111217532,14210,A41,5,Elk Street,25
12,11,5,6,4,477793283,7658,,14201,156.76857700846182,14202,A41,5,7th Street,25
12,131,109,138,112,477786876,1338,,14211,82.7001311969521,14211,A41,4,Doat Street,25
12,51,1,52,2,477792604,7727,,14201,62.990800368740025,14201,A41,5,Pine Harbor Walk,25
12,199,1,198,2,477796181,11006,,14206,148.61979175036245,14206,A41,5,Bushnell Street,25
12,99,1,98,2,477790292,8069,,14202,204.15487114317506,14202,A41,5,Woodbury Alley,25
12,,,,,506020617,7974,,14201,9.7204218024438482,14201,A35,4,Wadsworth Street,35
12,199,101,198,102,477788831,6404,,14211,142.31946739709022,14211,A41,5,Oberlin Avenue,25
12,299,225,298,226,477790211,6421,,14212,129.52636179595291,14212,A41,5,Person Street,25
12,199,1,198,2,477791129,1071,,14212,248.93901999885287,14212,A41,5,Armbruster Street,25
12,119,93,118,92,477795216,10808,,14210,35.588099005223796,14210,A41,5,Emslie Street,25
12,399,233,398,228,477792466,6790,,14212,282.51443769017197,14212,A40,5,Coit Street,25
12,61,1,58,2,477787780,8241,,14209,186.15787917127426,14209,A41,5,Dodge Street,25
12,89,77,88,76,477794568,7542,,14202,18.190217150853417,14202,A30,5,West Seneca Street,35
12,199,1,298,2,477793564,994,,14206,761.48358904328904,14206,A41,5,Bud Military Drive,25
12,499,345,498,344,477786872,1337,,14211,182.22996793677996,14211,A41,5,May Street,25
12,399,187,398,186,477789699,6333,,14211,496.44498754693586,14211,A40,5,Loepere Street,25
12,99,1,98,2,477797235,10714,,14210,187.28085566860656,14210,A40,5,Clifford Street,25
12,99,1,198,2,511383823,7441,,14203,100.95200097086271,14203,A41,5,Booth Alley,25
,,,,,,11962,,,19.151148818904929,,,,,
12,,,,,484722945,9223,,14201,78.454176543032375,14202,A41,5,Trenton Road,25
12,275,233,276,236,477788017,8307,,14222,133.47926767855995,14222,A31,4,Summer Street,35
12,87,1,98,2,477791333,6478,,14212,267.65731720480449,14212,A40,5,Mills Street,25
12,5,1,6,2,477791939,6499,,14212,40.142546008019103,14212,A40,5,Houghton Avenue,25
12,199,115,198,106,477798256,10492,,14204,160.81693293373482,14204,A41,5,Vandalia Street,25
12,,,,,477794328,7591,,14202,3.0957067044295936,14202,A41,5,Charles Street,25
12,99,1,98,2,477796117,10905,,14210,162.75678173278945,14210,A41,5,Cornelia Street,25
12,85,1,86,2,477796653,10194,,14203,229.53752208878609,14203,A41,5,Mississippi Street,25
12,199,69,198,70,477798082,10531,,14210,224.44640635498899,14210,A41,5,Fitzgerald Street,25
12,99,1,98,2,477795636,10930,,14206,246.76975070206947,14206,A40,5,Clemo Street,25
12,23,1,24,2,477789366,6371,,14212,44.800188615674159,14212,A40,5,Harmonia Street,25
12,,,,,477795132,9961,,14202,2.5366316249176291,14202,A31,5,Pearl Street,35
12,311,239,312,240,477787106,8352,,14222,238.40014940762441,14222,A31,4,Richmond Avenue,35
12,153,127,154,128,477792072,7743,,14201,109.69919780917003,14201,A41,5,Carolina Street,25
12,99,55,98,54,477796990,10227,,14204,71.742475563743795,14204,A41,5,Moore Street,25
12,127,83,116,84,477795808,10770,,14210,147.14504115106411,14210,A41,5,Seymour Street,25
12,99,63,98,60,477789064,8009,,14201,90.61019644680286,14201,A40,5,Arlington Place,25
12,45,1,46,2,477794889,10936,,14206,162.3878665567928,14206,A40,5,Fleming Street,25
12,45,1,44,2,477797248,10989,,14206,105.27525872624066,14206,A41,5,Hubbard Street,25
12,199,107,198,156,477797026,10992,,14206,79.732412385185228,14206,A41,5,Dorothy Street,25
12,99,7,98,8,477791523,6490,,14212,107.48958612928472,14212,A41,5,Dover Street,25
12,119,111,,,511383794,7784,,14202,75.623429887890524,14202,A35,4,West Genesee Street,35
12,331,313,330,312,477796809,11018,,14210,68.218463776712582,14210,A41,5,Babcock Street,25
06,,,,,477797327,10722,190,14210,21.231584962215535,14210,A15,1,Interstate 190 Southbound,65
12,73,1,72,2,510970205,8054,,14201,228.03914773564554,14202,A40,5,Irving Place,25
12,,,,,477793158,9242,,14202,11.392106916298552,14202,A60,5,Connecting Road,25
12,99,1,98,2,477794223,6561,,14206,109.18903333199435,14206,A41,5,Stetson Street,25
12,99,1,98,2,477796927,10991,,14206,178.32070126602392,14206,A41,5,Hobart Street,25
12,113,53,120,44,477791882,6521,,14212,194.35969315345375,14212,A41,5,Milburn Street,25
12,49,1,50,2,477795331,10789,,14210,54.331946403678486,14210,A40,5,Meteor Alley,25
12,193,177,196,172,477791292,6530,,14212,45.206959641085589,14212,A41,5,Ashley Street,25
12,199,137,198,136,477790421,7921,,14201,211.46990340013662,14201,A40,5,10th Street,25
12,99,1,98,2,477796815,10702,,14210,75.717377794094446,14210,A41,5,Sordyl Alley,25
12,299,185,298,186,477787763,8340,,14213,112.37267283484346,14213,A41,4,York Street,25
12,31,1,20,2,477791795,7841,,14201,131.32923456825293,14201,A40,5,North Johnson Park,25
12,69,57,68,58,477794244,7516,,14202,22.748452616272754,14202,A41,5,West Swan Street,25
12,199,129,198,128,477787274,1344,,14211,181.23181340152226,14211,A41,5,Rapin Place,25
12,287,147,284,142,477790674,6812,,14211,443.74919974053256,14211,A40,5,Fox Street,25
12,198,20,199,21,477794994,9875,,14202,67.430068803404922,14202,A41,5,Wilkeson Way,25
12,519,501,518,500,477795745,10924,,14206,309.82690550947405,14206,A41,5,New Babcock Street,25
12,137,101,134,100,477794483,10940,,14206,100.55758955457993,14206,A41,5,Metcalfe Street,25
