ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
ELL 003,Larry Sharpe/ Andrew C Hollister,Libertarian,1,2018,Governor
ELL 003,Marc Molinaro/ Julie Killian,Conservative,6,2018,Governor
ELL 003,Marc Molinaro/ Julie Killian,Reform,3,2018,Governor
ELL 003,Marc Molinaro/ Julie Killian,Republican,39,2018,Governor
ELL 003,Stephanie A Miner/ Michael J Volpe,SAM,7,2018,Governor
ELL 003,"Blank, Void, & Scattering",n/a,14,2019,County Executive
ELL 003,Lynne Dixon,Conservative,3,2019,County Executive
ELL 003,Lynne Dixon,Independence,4,2019,County Executive
ELL 003,Lynne Dixon,Republican,29,2019,County Executive
ELL 003,Lynne Dixon,SAM,1,2019,County Executive
ELL 003,Mark C. Poloncarz,Democratic,148,2019,County Executive
ELL 003,Mark C. Poloncarz,Working Families,8,2019,County Executive
ELL 003,Barbara Miller-Williams,Democratic,127,2019,Comptroller
ELL 003,Barbara Miller-Williams,Independence,5,2019,Comptroller
ELL 003,Barbara Miller-Williams,Working Families,10,2019,Comptroller
ELL 003,"Blank, Void, & Scattering",n/a,27,2019,Comptroller
ELL 003,Ross M. Kostecky,Republican,38,2019,Comptroller
ELL 003,"Blank, Void & Scattering                                                                     ",n/a,7,2020,President
ELL 003,Brock Pierce/Karla Ballard,Independence,0,2020,President
ELL 003,Donald J. Trump/Michael R. Pence,Conservative,6,2020,President
ELL 003,Donald J. Trump/Michael R. Pence,Republican,45,2020,President
ELL 003,Howie Hawkins/Angela Nicole Walker,Green,3,2020,President
ELL 003,Jo Jorgensen/Jeremy Cohen,Libertarian,1,2020,President
ELL 003,Joseph R. Biden/Kamala D. Harris,Democratic,318,2020,President
ELL 003,Joseph R. Biden/Kamala D. Harris,Working Families,18,2020,President
ELL 003,"President, Write in",n/a,2,2020,President
ELL 003,"Blank, Void, Scattering",n/a,21,2020,Congress
ELL 003,Brian Higgins,SAM,0,2020,Congress
ELL 003,Brian Higgins,Working Families,25,2020,Congress
ELL 003,Brian Higgins,Democratic,309,2020,Congress
ELL 003,Michael P. Raleigh,Green,6,2020,Congress
ELL 003,Ricky T. Donovan Sr.,Republican,39,2020,Congress
ELL 003,"Blank, Void, Scattering",n/a,22,2021,Sheriff
ELL 003,John C. Garcia,Back the Blue/Guardian,2,2021,Sheriff
ELL 003,John C. Garcia,Republican,61,2021,Sheriff
ELL 003,Karen L. Healy-Case,Conservative,5,2021,Sheriff
ELL 003,Kimberly Beaty,Democratic,221,2021,Sheriff
ELL 003,Kimberly Beaty,Justice & Peace,12,2021,Sheriff
ELL 003,Theodore C. DiNoto,Public Service,3,2021,Sheriff
ELL 003,Ben Carlisle,Write-In,1,2021,Mayor
ELL 003,"Blank, Void, and Scattering",n/a,7,2021,Mayor
ELL 003,Byron Brown,Write-In,182,2021,Mayor
ELL 003,India B. Walton,Democratic,136,2021,Mayor
ELL 003,Jaz Miles,Write-In,0,2021,Mayor
ELL 003,William O'Dell,Write-In,0,2021,Mayor
ELL 003,"Blank, Void, Scattering",n/a,51,2021,Comptroller
ELL 003,Duane J. Whitmer,Libertarian,4,2021,Comptroller
ELL 003,Kevin R. Hardwick,Democratic,191,2021,Comptroller
ELL 003,Kevin R. Hardwick,Working Families/Integrity,13,2021,Comptroller
ELL 003,Lynne Dixon,Republican,59,2021,Comptroller
ELL 003,Lynne Dixon,Conservative,8,2021,Comptroller
ELL 003,"Blank, Void, Scattering",n/a,17,2022,Senate
ELL 003,Charles E. Schumer,Working Families,19,2022,Senate
ELL 003,Charles E. Schumer,Democratic,250,2022,Senate
ELL 003,Diane Sare,LaRouche,1,2022,Senate
ELL 003,Joe Pinion,Conservative,3,2022,Senate
ELL 003,Joe Pinion,Republican,38,2022,Senate
ELL 003,"Blank, Void, Scattering",n/a,4,2022,Governor
ELL 003,Kathy C. Hochul / Antonio Delgado,Democratic,266,2022,Governor
ELL 003,Kathy C. Hochul / Antonio Delgado,Working Families,19,2022,Governor
ELL 003,Lee Zeldin / Alison Esposito,Conservative,5,2022,Governor
ELL 003,Lee Zeldin / Alison Esposito,Republican,34,2022,Governor
ELL 003,"Blank, Void, Scattering",n/a,12,2022,Congress
ELL 003,Brian Higgins,Working Families,20,2022,Congress
ELL 003,Brian Higgins,Democratic,261,2022,Congress
ELL 003,Steven L. Sams II,Conservative,3,2022,Congress
ELL 003,Steven L. Sams II,Republican,32,2022,Congress
ELL 003,"Blank, Void, Scattering",n/a,26,2022,Comptroller
ELL 003,Paul Rodriguez,Conservative,3,2022,Comptroller
ELL 003,Paul Rodriguez,Republican,38,2022,Comptroller
ELL 003,Thomas P. DiNapoli,Working Families,22,2022,Comptroller
ELL 003,Thomas P. DiNapoli,Democratic,239,2022,Comptroller
ELL 004,YES,n/a,11,2002,Proposition
ELL 004,NO,n/a,86,2002,Proposition
ELL 004,"Blank, Void & Scattering",n/a,47,2002,Proposition
ELL 004," Blank, Void & Scattering                                                                     ",n/a,2,2005,Mayor
ELL 004,Byron W. Brown,Democrat,150,2005,Mayor
ELL 004,Byron W. Brown                                                         ,Working Families,15,2005,Mayor
ELL 004,Charles J. Flynn,Independence,4,2005,Mayor
ELL 004,Judith S. Einach                                             ,Green,0,2005,Mayor
ELL 004,Kevin J. Helfer,Republican/Strong Leadership,2,2005,Mayor
ELL 004,Kevin J. Helfer,Conservative,0,2005,Mayor
ELL 004,Barack Obama/Joe Biden,Democratic,255,2008,President
ELL 004,Barack Obama/Joe Biden,Working Families,9,2008,President
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,10,2008,President
ELL 004,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
ELL 004,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
ELL 004,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 004,John McCain/Sarah Palin,Conservative,0,2008,President
ELL 004,John McCain/Sarah Palin,Independence,2,2008,President
ELL 004,John McCain/Sarah Palin,Republican,5,2008,President
ELL 004,"President, Write In",n/a,0,2008,President
ELL 004,Ralph Nader/Matt Gonzalez,Populist,1,2008,President
ELL 004,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 004," Blank, Void & Scattering                                                                     ",n/a,5,2009,Mayor
ELL 004,Byron W. Brown,Democratic,52,2009,Mayor
ELL 004,Byron W. Brown,Independence,0,2009,Mayor
ELL 004,Byron W. Brown                                                                 ,Working Families,2,2009,Mayor
ELL 004,Byron W. Brown,Conservative,0,2009,Mayor
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,5,2011,County Executive
ELL 004,Chris Collins,Conservative,1,2011,County Executive
ELL 004,Chris Collins,Independence,3,2011,County Executive
ELL 004,Chris Collins,Republican,2,2011,County Executive
ELL 004,Mark C. Poloncarz,Democratic,96,2011,County Executive
ELL 004,Mark C. Poloncarz,Working Families,6,2011,County Executive
ELL 004,Barack Obama/Joe Biden,Democratic,192,2012,President
ELL 004,Barack Obama/Joe Biden,Working Families,6,2012,President
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,1,2012,President
ELL 004,Gary Johnson/James P. Gray,Libertarian,1,2012,President
ELL 004,Jill Stein/Cheri Honkala,Green,0,2012,President
ELL 004,Mitt Romney/Paul Ryan,Conservative,0,2012,President
ELL 004,Mitt Romney/Paul Ryan,Republican,2,2012,President
ELL 004,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 004,"President, Write In",n/a,0,2012,President
ELL 004,Virgil Goode/Jim Clymer,Constitution,0,2012,President
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,2,2013,Mayor
ELL 004,Byron W. Brown,Conservative,1,2013,Mayor
ELL 004,Byron W. Brown,Democratic,63,2013,Mayor
ELL 004,Byron W. Brown,Independence,0,2013,Mayor
ELL 004,Byron W. Brown,Working Families,2,2013,Mayor
ELL 004,Sergio R. Rodriguez,Progressive,0,2013,Mayor
ELL 004,Sergio R. Rodriguez,Republican,2,2013,Mayor
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,10,2015,County Executive
ELL 004,Eric Jones,Green,2,2015,County Executive
ELL 004,Mark C. Poloncarz,Democratic,35,2015,County Executive
ELL 004,Mark C. Poloncarz,Working Families,2,2015,County Executive
ELL 004,Mark C. Poloncarz,Women's Equality,0,2015,County Executive
ELL 004,Raymond W. Walter,Republican,3,2015,County Executive
ELL 004,Raymond W. Walter,Independence,0,2015,County Executive
ELL 004,Raymond W. Walter,Reform,1,2015,County Executive
ELL 004,Raymond W. Walter,Conservative,0,2015,County Executive
ELL 004,"Blank, Void, & Scattering",n/a,2,2016,President
ELL 004,Donald J Trump/ Michael R Pence,Republican,3,2016,President
ELL 004,Donald J Trump/ Michael R Pence,Conservative,1,2016,President
ELL 004,Gary Johnson/ Bill Weld,Independence,0,2016,President
ELL 004,Gary Johnson/ Bill Weld,Libertarian,0,2016,President
ELL 004,Hillary Clinton/ Tim Kaine,Women's Equality,2,2016,President
ELL 004,Hillary Clinton/ Tim Kaine,Working Families,7,2016,President
ELL 004,Hillary Clinton/ Tim Kaine,Democratic,153,2016,President
ELL 004,Jill Stein/ Ajamu Baraka,Green,0,2016,President
ELL 004,"President, Write In",n/a,0,2016,President
ELL 004,Anita L Howard,Conservative,0,2017,Mayor
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,3,2017,Mayor
ELL 004,Byron W Brown,Democratic,68,2017,Mayor
ELL 004,Byron W Brown,Independence,0,2017,Mayor
ELL 004,Byron W Brown,Women's Equality,0,2017,Mayor
ELL 004,Byron W Brown,Working Families,1,2017,Mayor
ELL 004,Mark J F Schroeder,Reform,4,2017,Mayor
ELL 004,Taniqua Simmons,Write-In,1,2017,Mayor
ELL 004,Terrence A Robinson,Green,4,2017,Mayor
ELL 004,"Blank, Void, & Scattering",n/a,8,2018,Senate
ELL 004,Chele Chiavacci Farley,Conservative,1,2018,Senate
ELL 004,Chele Chiavacci Farley,Reform,0,2018,Senate
ELL 004,Chele Chiavacci Farley,Republican,2,2018,Senate
ELL 004,Kirsten E Gillibrand,Democratic,112,2018,Senate
ELL 004,Kirsten E Gillibrand,Independence,1,2018,Senate
ELL 004,Kirsten E Gillibrand,Women's Equality,1,2018,Senate
ELL 004,Kirsten E Gillibrand,Working Families,4,2018,Senate
ELL 004,Andrew M Cuomo/ Kathy C Hochul,Democratic,118,2018,Governor
ELL 004,Andrew M Cuomo/ Kathy C Hochul,Independence,1,2018,Governor
ELL 004,Andrew M Cuomo/ Kathy C Hochul,Working Families,0,2018,Governor
ELL 004,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,0,2018,Governor
ELL 004,"Blank, Void, & Scattering",n/a,4,2018,Governor
ELL 004,Howie Hawkins/ Jia Lee,Green,3,2018,Governor
ELL 004,Larry Sharpe/ Andrew C Hollister,Libertarian,0,2018,Governor
ELL 004,Marc Molinaro/ Julie Killian,Conservative,1,2018,Governor
ELL 004,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
ELL 004,Marc Molinaro/ Julie Killian,Republican,2,2018,Governor
ELL 004,Stephanie A Miner/ Michael J Volpe,SAM,0,2018,Governor
ELL 004,"Blank, Void, & Scattering",n/a,13,2019,Legislature
ELL 004,Howard J. Johnson Jr.,Democratic,44,2019,Legislature
ELL 004,Katrinna Martin,Working Families,3,2019,Legislature
ELL 004,Tara Craig,Write-In,1,2019,Legislature
ELL 004,"Blank, Void, & Scattering",n/a,11,2019,County Executive
ELL 004,Lynne Dixon,Conservative,1,2019,County Executive
ELL 004,Lynne Dixon,Independence,0,2019,County Executive
ELL 004,Lynne Dixon,Republican,1,2019,County Executive
ELL 004,Lynne Dixon,SAM,0,2019,County Executive
ELL 004,Mark C. Poloncarz,Democratic,47,2019,County Executive
ELL 004,Mark C. Poloncarz,Working Families,1,2019,County Executive
ELL 004,Barbara Miller-Williams,Democratic,46,2019,Comptroller
ELL 004,Barbara Miller-Williams,Independence,1,2019,Comptroller
ELL 004,Barbara Miller-Williams,Working Families,3,2019,Comptroller
ELL 004,"Blank, Void, & Scattering",n/a,10,2019,Comptroller
ELL 004,Ross M. Kostecky,Republican,1,2019,Comptroller
ELL 004,"Blank, Void & Scattering                                                                     ",n/a,0,2020,President
ELL 004,Brock Pierce/Karla Ballard,Independence,0,2020,President
ELL 004,Donald J. Trump/Michael R. Pence,Conservative,0,2020,President
ELL 004,Donald J. Trump/Michael R. Pence,Republican,7,2020,President
ELL 004,Howie Hawkins/Angela Nicole Walker,Green,0,2020,President
ELL 004,Jo Jorgensen/Jeremy Cohen,Libertarian,0,2020,President
ELL 004,Joseph R. Biden/Kamala D. Harris,Democratic,161,2020,President
ELL 004,Joseph R. Biden/Kamala D. Harris,Working Families,9,2020,President
ELL 004,"President, Write in",n/a,0,2020,President
ELL 004,"Blank, Void, Scattering",n/a,11,2020,Congress
ELL 004,Brian Higgins,SAM,0,2020,Congress
ELL 004,Brian Higgins,Working Families,11,2020,Congress
ELL 004,Brian Higgins,Democratic,147,2020,Congress
ELL 004,Michael P. Raleigh,Green,2,2020,Congress
ELL 004,Ricky T. Donovan Sr.,Republican,6,2020,Congress
ELL 004,"Blank, Void, Scattering",n/a,9,2021,Sheriff
ELL 004,John C. Garcia,Back the Blue/Guardian,1,2021,Sheriff
ELL 004,John C. Garcia,Republican,1,2021,Sheriff
ELL 004,Karen L. Healy-Case,Conservative,2,2021,Sheriff
ELL 004,Kimberly Beaty,Democratic,87,2021,Sheriff
ELL 004,Kimberly Beaty,Justice & Peace,4,2021,Sheriff
ELL 004,Theodore C. DiNoto,Public Service,1,2021,Sheriff
ELL 004,Ben Carlisle,Write-In,0,2021,Mayor
ELL 004,"Blank, Void, and Scattering",n/a,5,2021,Mayor
ELL 004,Byron Brown,Write-In,47,2021,Mayor
ELL 004,India B. Walton,Democratic,53,2021,Mayor
ELL 004,Jaz Miles,Write-In,0,2021,Mayor
ELL 004,William O'Dell,Write-In,0,2021,Mayor
ELL 004,"Blank, Void, Scattering",n/a,26,2021,Comptroller
ELL 004,Duane J. Whitmer,Libertarian,4,2021,Comptroller
ELL 004,Kevin R. Hardwick,Democratic,60,2021,Comptroller
ELL 004,Kevin R. Hardwick,Working Families/Integrity,8,2021,Comptroller
ELL 004,Lynne Dixon,Republican,4,2021,Comptroller
ELL 004,Lynne Dixon,Conservative,3,2021,Comptroller
ELL 004,"Blank, Void, Scattering",n/a,3,2022,Senate
ELL 004,Charles E. Schumer,Working Families,7,2022,Senate
ELL 004,Charles E. Schumer,Democratic,69,2022,Senate
ELL 004,Diane Sare,LaRouche,0,2022,Senate
ELL 004,Joe Pinion,Conservative,2,2022,Senate
ELL 004,Joe Pinion,Republican,3,2022,Senate
ELL 004,"Blank, Void, Scattering",n/a,1,2022,Governor
ELL 004,Kathy C. Hochul / Antonio Delgado,Democratic,70,2022,Governor
ELL 004,Kathy C. Hochul / Antonio Delgado,Working Families,6,2022,Governor
ELL 004,Lee Zeldin / Alison Esposito,Conservative,3,2022,Governor
ELL 004,Lee Zeldin / Alison Esposito,Republican,4,2022,Governor
ELL 004,"Blank, Void, Scattering",n/a,2,2022,Congress
ELL 004,Brian Higgins,Working Families,6,2022,Congress
ELL 004,Brian Higgins,Democratic,71,2022,Congress
ELL 004,Steven L. Sams II,Conservative,1,2022,Congress
ELL 004,Steven L. Sams II,Republican,4,2022,Congress
ELL 004,"Blank, Void, Scattering",n/a,6,2022,Comptroller
ELL 004,Paul Rodriguez,Conservative,3,2022,Comptroller
ELL 004,Paul Rodriguez,Republican,3,2022,Comptroller
ELL 004,Thomas P. DiNapoli,Working Families,5,2022,Comptroller
ELL 004,Thomas P. DiNapoli,Democratic,67,2022,Comptroller
ELL 005,YES,n/a,242,2002,Proposition
ELL 005,NO,n/a,36,2002,Proposition
ELL 005,"Blank, Void & Scattering",n/a,28,2002,Proposition
ELL 005," Blank, Void & Scattering                                                                     ",n/a,0,2005,Mayor
ELL 005,Byron W. Brown,Democrat,59,2005,Mayor
ELL 005,Byron W. Brown                                                         ,Working Families,4,2005,Mayor
ELL 005,Charles J. Flynn,Independence,3,2005,Mayor
ELL 005,Judith S. Einach                                             ,Green,6,2005,Mayor
ELL 005,Kevin J. Helfer,Republican/Strong Leadership,100,2005,Mayor
ELL 005,Kevin J. Helfer,Conservative,12,2005,Mayor
ELL 005,Barack Obama/Joe Biden,Democratic,134,2008,President
ELL 005,Barack Obama/Joe Biden,Working Families,2,2008,President
ELL 005,"Blank, Void & Scattering                                                                     ",n/a,0,2008,President
ELL 005,Bob Barr/Wayne A. Root,Libertarian,1,2008,President
ELL 005,Cynthia McKinney/Rosa Clemente,Green,1,2008,President
ELL 005,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 005,John McCain/Sarah Palin,Conservative,4,2008,President
ELL 005,John McCain/Sarah Palin,Independence,6,2008,President
ELL 005,John McCain/Sarah Palin,Republican,60,2008,President
ELL 005,"President, Write In",n/a,0,2008,President
ELL 005,Ralph Nader/Matt Gonzalez,Populist,2,2008,President
ELL 005,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 005," Blank, Void & Scattering                                                                     ",n/a,49,2009,Mayor
ELL 005,Byron W. Brown,Democratic,25,2009,Mayor
ELL 005,Byron W. Brown,Independence,1,2009,Mayor
ELL 005,Byron W. Brown                                                                 ,Working Families,1,2009,Mayor
ELL 005,Byron W. Brown,Conservative,2,2009,Mayor
ELL 005,"Blank, Void & Scattering                                                                     ",n/a,2,2011,County Executive
ELL 005,Chris Collins,Conservative,5,2011,County Executive
ELL 005,Chris Collins,Independence,3,2011,County Executive
ELL 005,Chris Collins,Republican,59,2011,County Executive
ELL 005,Mark C. Poloncarz,Democratic,65,2011,County Executive
ELL 005,Mark C. Poloncarz,Working Families,5,2011,County Executive
ELL 005,Barack Obama/Joe Biden,Democratic,115,2012,President
ELL 005,Barack Obama/Joe Biden,Working Families,1,2012,President
ELL 005,"Blank, Void & Scattering                                                                     ",n/a,2,2012,President
ELL 005,Gary Johnson/James P. Gray,Libertarian,0,2012,President
ELL 005,Jill Stein/Cheri Honkala,Green,0,2012,President
ELL 005,Mitt Romney/Paul Ryan,Conservative,1,2012,President
ELL 005,Mitt Romney/Paul Ryan,Republican,2,2012,President
ELL 005,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
